Sample_ID,B.cells.naive,B.cells.memory,Plasma.cells,T.cells.CD8,T.cells.CD4.naive,T.cells.CD4.memory.resting,T.cells.CD4.memory.activated,T.cells.follicular.helper,T.cells.regulatory..Tregs.,T.cells.gamma.delta,NK.cells.resting,NK.cells.activated,Monocytes,Macrophages.M0,Macrophages.M1,Macrophages.M2,Dendritic.cells.resting,Dendritic.cells.activated,Mast.cells.resting,Mast.cells.activated,Eosinophils,Neutrophils
Pre_Acc135,0.081817761,0,0.113943454,0.066817344,0,0.28227892,0,0.018080754,0.046234039,0,0.003104462,0.073003796,0.025456136,0.103530089,0.102285536,0.071849727,0,0.004238402,0.007359579,0,0,0
Pre_Acc137,0,0,0.140173181,0.232603265,0,0.057470212,0.015348553,0.053462727,0.039301383,0,0,0.172596595,0.020843642,0.054093886,0.074920771,0.076280676,0,0.002160266,0.060500797,0,0,0.000244045
Pre_Acc139,0,0,0,0.179078543,0,0,0.020331326,0,0.003940135,0,0.023684581,0.029755945,0.271485113,0.094111834,0,0.347585216,0.009222877,0.014752146,0.006052282,0,0,0
Pre_Acc141,0.029341572,0.089028125,0.049506133,0.129245524,0.029493845,0.050362789,0.032570197,0.1460497,0.16705624,0,0,0.030814159,0,0.159008626,0.026730184,0.023977151,0,0.013289226,0.023526528,0,0,0
Pre_Acc143,0.137244021,0.049670641,0.064853669,0.157295028,0.008022746,0.027857241,0.031518638,0.198887982,0.167204503,0,0,0.002604914,0,0.077963289,0.000595069,0.034581999,0,0.03261862,0,0.004300339,0,0.004781302
Pre_Acc149,0.006481445,0,0.017790798,0.022419925,0,0.013838506,0,0.010404927,0.043356711,0,0.015823045,0.028200714,0.01064907,0.57168678,0.008842555,0.203931739,0,0.028061878,0.018511908,0,0,0
Pre_Acc150,0.009807315,0,0.084243164,0.210275995,0,0.00962657,0.0802177,0.068934776,0.023956455,0,0.0105435,0.123025588,0.017953956,0.048790526,0.097647022,0.16930358,0,0,0.044455545,0,0,0.00121831
Pre_Acc151,0.040724473,0,0.014834857,0.021749438,0,0.095396726,0,0.104054866,0,0.041768283,0,0.086870583,0.181720847,0.222089867,0.11628388,0.018942572,0,0,0.055563608,0,0,0
Pre_Acc19,0.027312231,0.021331869,0,0.017475769,0,0.107474718,0,0.068923138,0.035919864,0.041948225,0.037947923,0.04453238,0.020314159,0.032796595,0.119155417,0.357071105,0,0,0.067796607,0,0,0
Pre_Acc29,0,0.095891951,0,0.052822633,0,0.168232481,0.057270358,0,0,0,0,0.071347956,0,0.158370495,0.017000644,0.278844896,0,0,0.099806022,0,0,0.000412562
Pre_Acc31,0.006660992,0,0.072408817,0.01953576,0,0.133072366,0,0,0.051462541,0,0.00286296,0.052848903,0.134542523,0,0.115653918,0.384290966,0,0,0.026660255,0,0,0
Pre_Acc36,0.059630249,0,0.009860908,0.017520786,0,0.309246307,0,0.053954392,0,0,0.031928874,0.008551468,0.037863695,0.19210481,0.188033001,0.064489796,0,0,0.026815714,0,0,0
Pre_Acc38,0.000317293,0.011013943,0,0,0,0.327759508,0,0,0.003779397,0,0.19201073,0,0.030193502,0,0,0.426280359,0,0.001421536,0.007223732,0,0,0
Pre_Acc44,0.021480578,0,0.221106416,0.121631326,0,0.082550206,0,0.028704162,0.004899353,0,0,0.102722433,0,0.172105134,0.132108899,0,0,0.05905058,0.053640912,0,0,0
Pre_Acc69,0.050131508,0,0.068146847,0.167361599,0,0.067332322,0.087842816,0.060795963,0.010152266,0.004965158,0,0.014221215,0.006159574,0.196713068,0.154663179,0.097824804,1.69569197006887e-05,0,0.013672722,0,0,0
